,petalLength,petalWidth,sepalLength,sepalWidth,species
0,1.4,0.2,5.1,3.5,setosa
1,1.4,0.2,4.9,3.0,setosa
2,1.3,0.2,4.7,3.2,setosa
3,1.5,0.2,4.6,3.1,setosa
4,1.4,0.2,5.0,3.6,setosa
5,1.7000000000000002,0.4,5.4,3.9,setosa
6,1.4,0.30000000000000004,4.6,3.4,setosa
7,1.5,0.2,5.0,3.4,setosa
8,1.4,0.2,4.4,2.9,setosa
9,1.5,0.1,4.9,3.1,setosa
10,1.5,0.2,5.4,3.7,setosa
11,1.6,0.2,4.8,3.4,setosa
12,1.4,0.1,4.8,3.0,setosa
13,1.1,0.1,4.3,3.0,setosa
14,1.2,0.2,5.8,4.0,setosa
15,1.5,0.4,5.7,4.4,setosa
16,1.3,0.4,5.4,3.9,setosa
17,1.4,0.30000000000000004,5.1,3.5,setosa
18,1.7000000000000002,0.30000000000000004,5.7,3.8,setosa
19,1.5,0.30000000000000004,5.1,3.8,setosa
20,1.7000000000000002,0.2,5.4,3.4,setosa
21,1.5,0.4,5.1,3.7,setosa
22,1.0,0.2,4.6,3.6,setosa
23,1.7000000000000002,0.5,5.1,3.3,setosa
24,1.9,0.2,4.8,3.4,setosa
25,1.6,0.2,5.0,3.0,setosa
26,1.6,0.4,5.0,3.4,setosa
27,1.5,0.2,5.2,3.5,setosa
28,1.4,0.2,5.2,3.4,setosa
29,1.6,0.2,4.7,3.2,setosa
30,1.6,0.2,4.8,3.1,setosa
31,1.5,0.4,5.4,3.4,setosa
32,1.5,0.1,5.2,4.1,setosa
33,1.4,0.2,5.5,4.2,setosa
34,1.5,0.2,4.9,3.1,setosa
35,1.2,0.2,5.0,3.2,setosa
36,1.3,0.2,5.5,3.5,setosa
37,1.4,0.1,4.9,3.6,setosa
38,1.3,0.2,4.4,3.0,setosa
39,1.5,0.2,5.1,3.4,setosa
40,1.3,0.30000000000000004,5.0,3.5,setosa
41,1.3,0.30000000000000004,4.5,2.3,setosa
42,1.3,0.2,4.4,3.2,setosa
43,1.6,0.6000000000000001,5.0,3.5,setosa
44,1.9,0.4,5.1,3.8,setosa
45,1.4,0.30000000000000004,4.8,3.0,setosa
46,1.6,0.2,5.1,3.8,setosa
47,1.4,0.2,4.6,3.2,setosa
48,1.5,0.2,5.3,3.7,setosa
49,1.4,0.2,5.0,3.3,setosa
50,4.7,1.4,7.0,3.2,versicolor
51,4.5,1.5,6.4,3.2,versicolor
52,4.9,1.5,6.9,3.1,versicolor
53,4.0,1.3,5.5,2.3,versicolor
54,4.6,1.5,6.5,2.8,versicolor
55,4.5,1.3,5.7,2.8,versicolor
56,4.7,1.6,6.3,3.3,versicolor
57,3.3,1.0,4.9,2.4,versicolor
58,4.6,1.3,6.6,2.9,versicolor
59,3.9,1.4,5.2,2.7,versicolor
60,3.5,1.0,5.0,2.0,versicolor
61,4.2,1.5,5.9,3.0,versicolor
62,4.0,1.0,6.0,2.2,versicolor
63,4.7,1.4,6.1,2.9,versicolor
64,3.6,1.3,5.6,2.9,versicolor
65,4.4,1.4,6.7,3.1,versicolor
66,4.5,1.5,5.6,3.0,versicolor
67,4.1,1.0,5.8,2.7,versicolor
68,4.5,1.5,6.2,2.2,versicolor
69,3.9,1.1,5.6,2.5,versicolor
70,4.8,1.8,5.9,3.2,versicolor
71,4.0,1.3,6.1,2.8,versicolor
72,4.9,1.5,6.3,2.5,versicolor
73,4.7,1.2,6.1,2.8,versicolor
74,4.3,1.3,6.4,2.9,versicolor
75,4.4,1.4,6.6,3.0,versicolor
76,4.8,1.4,6.8,2.8,versicolor
77,5.0,1.7000000000000002,6.7,3.0,versicolor
78,4.5,1.5,6.0,2.9,versicolor
79,3.5,1.0,5.7,2.6,versicolor
80,3.8,1.1,5.5,2.4,versicolor
81,3.7,1.0,5.5,2.4,versicolor
82,3.9,1.2,5.8,2.7,versicolor
83,5.1,1.6,6.0,2.7,versicolor
84,4.5,1.5,5.4,3.0,versicolor
85,4.5,1.6,6.0,3.4,versicolor
86,4.7,1.5,6.7,3.1,versicolor
87,4.4,1.3,6.3,2.3,versicolor
88,4.1,1.3,5.6,3.0,versicolor
89,4.0,1.3,5.5,2.5,versicolor
90,4.4,1.2,5.5,2.6,versicolor
91,4.6,1.4,6.1,3.0,versicolor
92,4.0,1.2,5.8,2.6,versicolor
93,3.3,1.0,5.0,2.3,versicolor
94,4.2,1.3,5.6,2.7,versicolor
95,4.2,1.2,5.7,3.0,versicolor
96,4.2,1.3,5.7,2.9,versicolor
97,4.3,1.3,6.2,2.9,versicolor
98,3.0,1.1,5.1,2.5,versicolor
99,4.1,1.3,5.7,2.8,versicolor
100,6.0,2.5,6.3,3.3,virginica
101,5.1,1.9,5.8,2.7,virginica
102,5.9,2.1,7.1,3.0,virginica
103,5.6,1.8,6.3,2.9,virginica
104,5.8,2.2,6.5,3.0,virginica
105,6.6,2.1,7.6,3.0,virginica
106,4.5,1.7000000000000002,4.9,2.5,virginica
107,6.3,1.8,7.3,2.9,virginica
108,5.8,1.8,6.7,2.5,virginica
109,6.1,2.5,7.2,3.6,virginica
110,5.1,2.0,6.5,3.2,virginica
111,5.3,1.9,6.4,2.7,virginica
112,5.5,2.1,6.8,3.0,virginica
113,5.0,2.0,5.7,2.5,virginica
114,5.1,2.4,5.8,2.8,virginica
115,5.3,2.3,6.4,3.2,virginica
116,5.5,1.8,6.5,3.0,virginica
117,6.7,2.2,7.7,3.8,virginica
118,6.9,2.3,7.7,2.6,virginica
119,5.0,1.5,6.0,2.2,virginica
120,5.7,2.3,6.9,3.2,virginica
121,4.9,2.0,5.6,2.8,virginica
122,6.7,2.0,7.7,2.8,virginica
123,4.9,1.8,6.3,2.7,virginica
124,5.7,2.1,6.7,3.3,virginica
125,6.0,1.8,7.2,3.2,virginica
126,4.8,1.8,6.2,2.8,virginica
127,4.9,1.8,6.1,3.0,virginica
128,5.6,2.1,6.4,2.8,virginica
129,5.8,1.6,7.2,3.0,virginica
130,6.1,1.9,7.4,2.8,virginica
131,6.4,2.0,7.9,3.8,virginica
132,5.6,2.2,6.4,2.8,virginica
133,5.1,1.5,6.3,2.8,virginica
134,5.6,1.4,6.1,2.6,virginica
135,6.1,2.3,7.7,3.0,virginica
136,5.6,2.4,6.3,3.4,virginica
137,5.5,1.8,6.4,3.1,virginica
138,4.8,1.8,6.0,3.0,virginica
139,5.4,2.1,6.9,3.1,virginica
140,5.6,2.4,6.7,3.1,virginica
141,5.1,2.3,6.9,3.1,virginica
142,5.1,1.9,5.8,2.7,virginica
143,5.9,2.3,6.8,3.2,virginica
144,5.7,2.5,6.7,3.3,virginica
145,5.2,2.3,6.7,3.0,virginica
146,5.0,1.9,6.3,2.5,virginica
147,5.2,2.0,6.5,3.0,virginica
148,5.4,2.3,6.2,3.4,virginica
149,5.1,1.8,5.9,3.0,virginica
